itemid,"icmppingloss[,{$PINGL},,,]_clock",num,value_min,"icmppingloss[,{$PINGL},,,]_avg",value_max
41107,"29/10/2021,05:00",60,0,0,0
41107,"29/10/2021,06:00",60,0,0,0
41107,"29/10/2021,07:00",60,0,0,0
41107,"29/10/2021,08:00",60,0,0,0
41107,"29/10/2021,09:00",60,0,0,0
41107,"29/10/2021,10:00",60,0,0,0
41107,"29/10/2021,11:00",60,0,0,0
41107,"29/10/2021,12:00",60,0,0,0
41107,"29/10/2021,13:00",60,0,0,0
41107,"29/10/2021,14:00",60,0,0,0
41107,"29/10/2021,15:00",60,0,0,0
41107,"29/10/2021,16:00",60,0,0,0
41107,"29/10/2021,17:00",60,0,0,0
41107,"29/10/2021,18:00",60,0,0,0
41107,"29/10/2021,19:00",60,0,0,0
41107,"29/10/2021,20:00",60,0,0,0
41107,"29/10/2021,21:00",60,0,0,0
41107,"29/10/2021,22:00",60,0,0,0
41107,"29/10/2021,23:00",60,0,0,0
41107,"30/10/2021,00:00",60,0,0,0
41107,"30/10/2021,01:00",60,0,0,0
41107,"30/10/2021,02:00",60,0,0,0
41107,"30/10/2021,03:00",60,0,0,0
41107,"30/10/2021,04:00",60,0,0,0
41107,"30/10/2021,05:00",60,0,0,0
41107,"30/10/2021,06:00",60,0,0,0
41107,"30/10/2021,07:00",60,0,0,0
41107,"30/10/2021,08:00",60,0,0,0
41107,"30/10/2021,09:00",60,0,0,0
41107,"30/10/2021,10:00",60,0,0,0
41107,"30/10/2021,11:00",60,0,0,0
41107,"30/10/2021,12:00",60,0,0,0
41107,"30/10/2021,13:00",60,0,0,0
41107,"30/10/2021,14:00",60,0,0,0
41107,"30/10/2021,15:00",60,0,0,0
41107,"30/10/2021,16:00",60,0,0,0
41107,"30/10/2021,17:00",60,0,0,0
41107,"30/10/2021,18:00",60,0,0,0
41107,"30/10/2021,19:00",60,0,0,0
41107,"30/10/2021,20:00",60,0,0,0
41107,"30/10/2021,21:00",60,0,0,0
41107,"30/10/2021,22:00",60,0,0,0
41107,"30/10/2021,23:00",60,0,0,0
41107,"31/10/2021,00:00",60,0,0,0
41107,"31/10/2021,01:00",60,0,0,0
41107,"31/10/2021,02:00",60,0,0,0
41107,"31/10/2021,03:00",60,0,0,0
41107,"31/10/2021,04:00",60,0,0,0
41107,"31/10/2021,05:00",60,0,0,0
41107,"31/10/2021,06:00",60,0,0,0
41107,"31/10/2021,07:00",60,0,0,0
41107,"31/10/2021,08:00",60,0,0,0
41107,"31/10/2021,09:00",60,0,0,0
41107,"31/10/2021,10:00",60,0,0,0
41107,"31/10/2021,11:00",60,0,0,0
41107,"31/10/2021,12:00",60,0,0,0
41107,"31/10/2021,13:00",60,0,0,0
41107,"31/10/2021,14:00",60,0,0,0
41107,"31/10/2021,15:00",60,0,0,0
41107,"31/10/2021,16:00",60,0,0,0
41107,"31/10/2021,17:00",60,0,0,0
41107,"31/10/2021,18:00",60,0,0,0
41107,"31/10/2021,19:00",60,0,0,0
41107,"31/10/2021,20:00",60,0,0,0
41107,"31/10/2021,21:00",60,0,0,0
41107,"31/10/2021,22:00",60,0,0,0
41107,"31/10/2021,23:00",60,0,0,0
41107,"01/11/2021,00:00",60,0,0,0
41107,"01/11/2021,01:00",60,0,0,0
41107,"01/11/2021,02:00",60,0,0,0
41107,"01/11/2021,03:00",60,0,0,0
41107,"01/11/2021,04:00",60,0,0,0
41107,"01/11/2021,05:00",60,0,0,0
41107,"01/11/2021,06:00",60,0,0,0
41107,"01/11/2021,07:00",60,0,0,0
41107,"01/11/2021,08:00",60,0,0,0
41107,"01/11/2021,09:00",60,0,0,0
41107,"01/11/2021,10:00",60,0,0,0
41107,"01/11/2021,11:00",60,0,0,0
41107,"01/11/2021,12:00",60,0,0,0
41107,"01/11/2021,13:00",60,0,0,0
41107,"01/11/2021,14:00",60,0,0,0
41107,"01/11/2021,15:00",60,0,0,0
41107,"01/11/2021,16:00",60,0,0,0
41107,"01/11/2021,17:00",60,0,0,0
41107,"01/11/2021,18:00",60,0,0,0
41107,"01/11/2021,19:00",60,0,0,0
41107,"01/11/2021,20:00",60,0,0,0
41107,"01/11/2021,21:00",60,0,0,0
41107,"01/11/2021,22:00",60,0,0,0
41107,"01/11/2021,23:00",60,0,0,0
41107,"02/11/2021,00:00",60,0,0,0
41107,"02/11/2021,01:00",60,0,0,0
41107,"02/11/2021,02:00",60,0,0,0
41107,"02/11/2021,03:00",60,0,0,0
41107,"02/11/2021,04:00",60,0,0,0
41107,"02/11/2021,05:00",60,0,0,0
41107,"02/11/2021,06:00",60,0,0,0
41107,"02/11/2021,07:00",60,0,0,0
41107,"02/11/2021,08:00",60,0,0,0
41107,"02/11/2021,09:00",60,0,0,0
41107,"02/11/2021,10:00",60,0,0,0
41107,"02/11/2021,11:00",60,0,0,0
41107,"02/11/2021,12:00",60,0,0,0
41107,"02/11/2021,13:00",60,0,0,0
41107,"02/11/2021,14:00",60,0,0,0
41107,"02/11/2021,15:00",60,0,0,0
41107,"02/11/2021,16:00",60,0,0,0
41107,"02/11/2021,17:00",60,0,0,0
41107,"02/11/2021,18:00",60,0,0,0
41107,"02/11/2021,19:00",60,0,0,0
41107,"02/11/2021,20:00",60,0,0,0
41107,"02/11/2021,21:00",60,0,0,0
41107,"02/11/2021,22:00",60,0,0,0
41107,"02/11/2021,23:00",60,0,0,0
41107,"03/11/2021,00:00",60,0,0,0
41107,"03/11/2021,01:00",60,0,0,0
41107,"03/11/2021,02:00",60,0,0,0
41107,"03/11/2021,03:00",60,0,0,0
41107,"03/11/2021,04:00",60,0,0,0
41107,"03/11/2021,05:00",60,0,0,0
41107,"03/11/2021,06:00",60,0,0,0
41107,"03/11/2021,07:00",60,0,0,0
41107,"03/11/2021,08:00",60,0,0,0
41107,"03/11/2021,09:00",60,0,0,0
41107,"03/11/2021,10:00",60,0,0,0
41107,"03/11/2021,11:00",60,0,0,0
41107,"03/11/2021,12:00",60,0,0,0
41107,"03/11/2021,13:00",60,0,0,0
41107,"03/11/2021,14:00",60,0,0,0
41107,"03/11/2021,15:00",60,0,0,0
41107,"03/11/2021,16:00",60,0,0,0
41107,"03/11/2021,17:00",60,0,0,0
41107,"03/11/2021,18:00",60,0,0,0
41107,"03/11/2021,19:00",60,0,0,0
41107,"03/11/2021,20:00",60,0,0,0
41107,"03/11/2021,21:00",60,0,0,0
41107,"03/11/2021,22:00",60,0,0,0
41107,"03/11/2021,23:00",60,0,0,0
41107,"04/11/2021,00:00",60,0,0,0
41107,"04/11/2021,01:00",60,0,0,0
41107,"04/11/2021,02:00",60,0,0,0
41107,"04/11/2021,03:00",60,0,0,0
41107,"04/11/2021,04:00",60,0,0,0
41107,"04/11/2021,05:00",60,0,0,0
41107,"04/11/2021,06:00",60,0,0,0
41107,"04/11/2021,07:00",60,0,0,0
41107,"04/11/2021,08:00",60,0,0,0
41107,"04/11/2021,09:00",60,0,0,0
41107,"04/11/2021,10:00",60,0,0,0
41107,"04/11/2021,11:00",60,0,0,0
41107,"04/11/2021,12:00",60,0,0,0
41107,"04/11/2021,13:00",60,0,0,0
41107,"04/11/2021,14:00",60,0,0,0
41107,"04/11/2021,15:00",60,0,0,0
41107,"04/11/2021,16:00",60,0,0,0
41107,"04/11/2021,17:00",60,0,0,0
41107,"04/11/2021,18:00",60,0,0,0
41107,"04/11/2021,19:00",60,0,0,0
41107,"04/11/2021,20:00",60,0,0,0
41107,"04/11/2021,21:00",60,0,0,0
41107,"04/11/2021,22:00",60,0,0,0
41107,"04/11/2021,23:00",60,0,0,0
41107,"05/11/2021,00:00",60,0,0,0
41107,"05/11/2021,01:00",60,0,0,0
41107,"05/11/2021,02:00",60,0,0,0
41107,"05/11/2021,03:00",60,0,0,0
41107,"05/11/2021,04:00",60,0,0,0
41107,"05/11/2021,05:00",60,0,0,0
41107,"05/11/2021,06:00",60,0,0,0
41107,"05/11/2021,07:00",60,0,0,0
41107,"05/11/2021,08:00",60,0,0,0
41107,"05/11/2021,09:00",60,0,0,0
41107,"05/11/2021,10:00",60,0,0,0
41107,"05/11/2021,11:00",60,0,0,0
41107,"05/11/2021,12:00",60,0,0,0
41107,"05/11/2021,13:00",60,0,0,0
41107,"05/11/2021,14:00",60,0,0,0
41107,"05/11/2021,15:00",60,0,0,0
41107,"05/11/2021,16:00",60,0,0,0
41107,"05/11/2021,17:00",60,0,0,0
41107,"05/11/2021,18:00",60,0,0,0
41107,"05/11/2021,19:00",60,0,0,0
41107,"05/11/2021,20:00",60,0,0,0
41107,"05/11/2021,21:00",60,0,0,0
41107,"05/11/2021,22:00",60,0,0,0
41107,"05/11/2021,23:00",60,0,0,0
41107,"06/11/2021,00:00",60,0,0,0
41107,"06/11/2021,01:00",60,0,0,0
41107,"06/11/2021,02:00",60,0,0,0
41107,"06/11/2021,03:00",60,0,0,0
41107,"06/11/2021,04:00",60,0,0,0
41107,"06/11/2021,05:00",60,0,0,0
41107,"06/11/2021,06:00",60,0,0,0
41107,"06/11/2021,07:00",60,0,0,0
41107,"06/11/2021,08:00",60,0,0,0
41107,"06/11/2021,09:00",60,0,0,0
41107,"06/11/2021,10:00",60,0,0,0
41107,"06/11/2021,11:00",60,0,0,0
41107,"06/11/2021,12:00",60,0,0,0
41107,"06/11/2021,13:00",60,0,0,0
41107,"06/11/2021,14:00",60,0,0,0
41107,"06/11/2021,15:00",60,0,0,0
41107,"06/11/2021,16:00",60,0,0,0
41107,"06/11/2021,17:00",60,0,0,0
41107,"06/11/2021,18:00",60,0,0,0
41107,"06/11/2021,19:00",60,0,0,0
41107,"06/11/2021,20:00",60,0,0,0
41107,"06/11/2021,21:00",60,0,0,0
41107,"06/11/2021,22:00",60,0,0,0
41107,"06/11/2021,23:00",60,0,0,0
41107,"07/11/2021,00:00",60,0,0,0
41107,"07/11/2021,01:00",60,0,0,0
41107,"07/11/2021,02:00",60,0,0,0
41107,"07/11/2021,03:00",60,0,0,0
41107,"07/11/2021,04:00",60,0,0,0
41107,"07/11/2021,05:00",60,0,0,0
41107,"07/11/2021,06:00",60,0,0,0
41107,"07/11/2021,07:00",60,0,0,0
41107,"07/11/2021,08:00",60,0,0,0
41107,"07/11/2021,09:00",60,0,0,0
41107,"07/11/2021,10:00",60,0,0,0
41107,"07/11/2021,11:00",60,0,0,0
41107,"07/11/2021,12:00",60,0,0,0
41107,"07/11/2021,13:00",60,0,0,0
41107,"07/11/2021,14:00",60,0,0,0
41107,"07/11/2021,15:00",60,0,0,0
41107,"07/11/2021,16:00",60,0,0,0
41107,"07/11/2021,17:00",60,0,0,0
41107,"07/11/2021,18:00",60,0,0,0
41107,"07/11/2021,19:00",60,0,0,0
41107,"07/11/2021,20:00",60,0,0,0
41107,"07/11/2021,21:00",60,0,0,0
41107,"07/11/2021,22:00",60,0,0,0
41107,"07/11/2021,23:00",60,0,0,0
41107,"08/11/2021,00:00",60,0,0,0
41107,"08/11/2021,01:00",60,0,0,0
41107,"08/11/2021,02:00",60,0,0,0
41107,"08/11/2021,03:00",60,0,0,0
41107,"08/11/2021,04:00",60,0,0,0
41107,"08/11/2021,05:00",60,0,0,0
41107,"08/11/2021,06:00",60,0,0,0
41107,"08/11/2021,07:00",60,0,0,0
41107,"08/11/2021,08:00",60,0,0,0
41107,"08/11/2021,09:00",60,0,0,0
41107,"08/11/2021,10:00",60,0,0,0
41107,"08/11/2021,11:00",60,0,0,0
41107,"08/11/2021,12:00",60,0,0,0
41107,"08/11/2021,13:00",60,0,0,0
41107,"08/11/2021,14:00",60,0,0,0
41107,"08/11/2021,15:00",60,0,0,0
41107,"08/11/2021,16:00",60,0,0,0
41107,"08/11/2021,17:00",60,0,0,0
41107,"08/11/2021,18:00",60,0,0,0
41107,"08/11/2021,19:00",60,0,0,0
41107,"08/11/2021,20:00",60,0,0,0
41107,"08/11/2021,21:00",60,0,0,0
41107,"08/11/2021,22:00",60,0,0,0
41107,"08/11/2021,23:00",60,0,0,0
41107,"09/11/2021,00:00",60,0,0,0
41107,"09/11/2021,01:00",60,0,0,0
41107,"09/11/2021,02:00",60,0,0,0
41107,"09/11/2021,03:00",60,0,0,0
41107,"09/11/2021,04:00",60,0,0,0
41107,"09/11/2021,05:00",60,0,0,0
41107,"09/11/2021,06:00",60,0,0,0
41107,"09/11/2021,07:00",60,0,0,0
41107,"09/11/2021,08:00",60,0,0,0
41107,"09/11/2021,09:00",60,0,0,0
41107,"09/11/2021,10:00",60,0,0,0
41107,"09/11/2021,11:00",60,0,0,0
41107,"09/11/2021,12:00",60,0,0,0
41107,"09/11/2021,13:00",60,0,0,0
41107,"09/11/2021,14:00",60,0,0,0
41107,"09/11/2021,15:00",60,0,0,0
41107,"09/11/2021,16:00",60,0,0,0
41107,"09/11/2021,17:00",60,0,0,0
41107,"09/11/2021,18:00",60,0,0,0
41107,"09/11/2021,19:00",60,0,0,0
41107,"09/11/2021,20:00",60,0,0,0
41107,"09/11/2021,21:00",60,0,0,0
41107,"09/11/2021,22:00",60,0,0,0
41107,"09/11/2021,23:00",60,0,0,0
41107,"10/11/2021,00:00",60,0,0,0
41107,"10/11/2021,01:00",60,0,0,0
41107,"10/11/2021,02:00",60,0,0,0
41107,"10/11/2021,03:00",60,0,0,0
41107,"10/11/2021,04:00",60,0,0,0
41107,"10/11/2021,05:00",60,0,0,0
41107,"10/11/2021,06:00",60,0,0,0
41107,"10/11/2021,07:00",60,0,0,0
41107,"10/11/2021,08:00",60,0,0,0
41107,"10/11/2021,09:00",60,0,0,0
41107,"10/11/2021,10:00",60,0,0,0
41107,"10/11/2021,11:00",60,0,0,0
41107,"10/11/2021,12:00",60,0,0,0
41107,"10/11/2021,13:00",60,0,0,0
41107,"10/11/2021,14:00",60,0,0,0
41107,"10/11/2021,15:00",60,0,0,0
41107,"10/11/2021,16:00",60,0,0,0
41107,"10/11/2021,17:00",60,0,0,0
41107,"10/11/2021,18:00",60,0,0,0
41107,"10/11/2021,19:00",60,0,0,0
41107,"10/11/2021,20:00",60,0,0,0
41107,"10/11/2021,21:00",60,0,0,0
41107,"10/11/2021,22:00",60,0,0,0
41107,"10/11/2021,23:00",60,0,0,0
41107,"11/11/2021,00:00",60,0,0,0
41107,"11/11/2021,01:00",60,0,0,0
41107,"11/11/2021,02:00",60,0,0,0
41107,"11/11/2021,03:00",60,0,0,0
41107,"11/11/2021,04:00",60,0,0,0
41107,"11/11/2021,05:00",60,0,0,0
41107,"11/11/2021,06:00",60,0,0,0
41107,"11/11/2021,07:00",60,0,0,0
41107,"11/11/2021,08:00",60,0,0,0
41107,"11/11/2021,09:00",60,0,0,0
41107,"11/11/2021,10:00",60,0,0,0
41107,"11/11/2021,11:00",60,0,0,0
41107,"11/11/2021,12:00",60,0,0,0
41107,"11/11/2021,13:00",60,0,0,0
41107,"11/11/2021,14:00",60,0,0,0
41107,"11/11/2021,15:00",60,0,0,0
41107,"11/11/2021,16:00",60,0,0,0
41107,"11/11/2021,17:00",60,0,0,0
41107,"11/11/2021,18:00",60,0,0,0
41107,"11/11/2021,19:00",60,0,0,0
41107,"11/11/2021,20:00",60,0,0,0
41107,"11/11/2021,21:00",60,0,0,0
41107,"11/11/2021,22:00",60,0,0,0
41107,"11/11/2021,23:00",60,0,0,0
41107,"12/11/2021,00:00",60,0,0,0
41107,"12/11/2021,01:00",60,0,0,0
41107,"12/11/2021,02:00",60,0,0,0
41107,"12/11/2021,03:00",60,0,0,0
41107,"12/11/2021,04:00",60,0,0,0
41107,"12/11/2021,05:00",60,0,0,0
41107,"12/11/2021,06:00",60,0,0,0
41107,"12/11/2021,07:00",60,0,0,0
41107,"12/11/2021,08:00",60,0,0,0
41107,"12/11/2021,09:00",60,0,0,0
41107,"12/11/2021,10:00",60,0,0,0
41107,"12/11/2021,11:00",60,0,0,0
41107,"12/11/2021,12:00",60,0,0,0
41107,"12/11/2021,13:00",60,0,0,0
41107,"12/11/2021,14:00",60,0,0,0
41107,"12/11/2021,15:00",60,0,0,0
41107,"12/11/2021,16:00",60,0,0,0
41107,"12/11/2021,17:00",60,0,0,0
41107,"12/11/2021,18:00",60,0,0,0
41107,"12/11/2021,19:00",60,0,0,0
41107,"12/11/2021,20:00",60,0,0,0
41107,"12/11/2021,21:00",60,0,0,0
41107,"12/11/2021,22:00",60,0,0,0
41107,"12/11/2021,23:00",60,0,0,0
41107,"13/11/2021,00:00",60,0,0,0
41107,"13/11/2021,01:00",60,0,0,0
41107,"13/11/2021,02:00",60,0,0,0
41107,"13/11/2021,03:00",60,0,0,0
41107,"13/11/2021,04:00",60,0,0,0
41107,"13/11/2021,05:00",60,0,0,0
41107,"13/11/2021,06:00",60,0,0,0
41107,"13/11/2021,07:00",60,0,0,0
41107,"13/11/2021,08:00",60,0,0,0
41107,"13/11/2021,09:00",60,0,0,0
41107,"13/11/2021,10:00",60,0,0,0
41107,"13/11/2021,11:00",60,0,0,0
41107,"13/11/2021,12:00",60,0,0,0
41107,"13/11/2021,13:00",60,0,0,0
41107,"13/11/2021,14:00",60,0,0,0
41107,"13/11/2021,15:00",60,0,0,0
41107,"13/11/2021,16:00",60,0,0,0
41107,"13/11/2021,17:00",60,0,0,0
41107,"13/11/2021,18:00",60,0,0,0
41107,"13/11/2021,19:00",60,0,0,0
41107,"13/11/2021,20:00",60,0,0,0
41107,"13/11/2021,21:00",60,0,0,0
41107,"13/11/2021,22:00",60,0,0,0
41107,"13/11/2021,23:00",60,0,0,0
41107,"14/11/2021,00:00",60,0,0,0
41107,"14/11/2021,01:00",60,0,0,0
41107,"14/11/2021,02:00",60,0,0,0
41107,"14/11/2021,03:00",60,0,0,0
41107,"14/11/2021,04:00",60,0,0,0
41107,"14/11/2021,05:00",60,0,0,0
41107,"14/11/2021,06:00",60,0,0,0
41107,"14/11/2021,07:00",60,0,0,0
41107,"14/11/2021,08:00",60,0,0,0
41107,"14/11/2021,09:00",60,0,0,0
41107,"14/11/2021,10:00",60,0,0,0
41107,"14/11/2021,11:00",60,0,0,0
41107,"14/11/2021,12:00",60,0,0,0
41107,"14/11/2021,13:00",60,0,0,0
41107,"14/11/2021,14:00",60,0,0,0
41107,"14/11/2021,15:00",60,0,0,0
41107,"14/11/2021,16:00",60,0,0,0
41107,"14/11/2021,17:00",60,0,0,0
41107,"14/11/2021,18:00",60,0,0,0
41107,"14/11/2021,19:00",60,0,0,0
41107,"14/11/2021,20:00",60,0,0,0
41107,"14/11/2021,21:00",60,0,0,0
41107,"14/11/2021,22:00",60,0,0,0
41107,"14/11/2021,23:00",60,0,0,0
41107,"15/11/2021,00:00",60,0,0,0
41107,"15/11/2021,01:00",60,0,0,0
41107,"15/11/2021,02:00",60,0,0,0
41107,"15/11/2021,03:00",60,0,0,0
41107,"15/11/2021,04:00",60,0,0,0
41107,"15/11/2021,05:00",60,0,0,0
41107,"15/11/2021,06:00",60,0,0,0
41107,"15/11/2021,07:00",60,0,0,0
41107,"15/11/2021,08:00",60,0,0,0
41107,"15/11/2021,09:00",60,0,0,0
41107,"15/11/2021,10:00",60,0,0,0
41107,"15/11/2021,11:00",60,0,0,0
41107,"15/11/2021,12:00",60,0,0,0
41107,"15/11/2021,13:00",60,0,0,0
41107,"15/11/2021,14:00",60,0,0,0
41107,"15/11/2021,15:00",60,0,0,0
41107,"15/11/2021,16:00",60,0,0,0
41107,"15/11/2021,17:00",60,0,0,0
41107,"15/11/2021,18:00",60,0,0,0
41107,"15/11/2021,19:00",60,0,0,0
41107,"15/11/2021,20:00",60,0,0,0
41107,"15/11/2021,21:00",60,0,0,0
41107,"15/11/2021,22:00",60,0,0,0
41107,"15/11/2021,23:00",60,0,0,0
41107,"16/11/2021,00:00",60,0,0,0
41107,"16/11/2021,01:00",60,0,0,0
41107,"16/11/2021,02:00",60,0,0,0
41107,"16/11/2021,03:00",60,0,0,0
41107,"16/11/2021,04:00",60,0,0,0
41107,"16/11/2021,05:00",60,0,0,0
41107,"16/11/2021,06:00",60,0,0,0
41107,"16/11/2021,07:00",60,0,0,0
41107,"16/11/2021,08:00",60,0,0,0
41107,"16/11/2021,09:00",60,0,0,0
41107,"16/11/2021,10:00",60,0,0,0
41107,"16/11/2021,11:00",60,0,0,0
41107,"16/11/2021,12:00",60,0,0,0
41107,"16/11/2021,13:00",60,0,0,0
41107,"16/11/2021,14:00",60,0,0,0
41107,"16/11/2021,15:00",60,0,0,0
41107,"16/11/2021,16:00",60,0,0,0
41107,"16/11/2021,17:00",60,0,0,0
41107,"16/11/2021,18:00",60,0,0,0
41107,"16/11/2021,19:00",60,0,0,0
41107,"16/11/2021,20:00",60,0,0,0
41107,"16/11/2021,21:00",60,0,0,0
41107,"16/11/2021,22:00",60,0,0,0
41107,"16/11/2021,23:00",60,0,0,0
41107,"17/11/2021,00:00",60,0,0,0
41107,"17/11/2021,01:00",60,0,0,0
41107,"17/11/2021,02:00",60,0,0,0
41107,"17/11/2021,03:00",60,0,0,0
41107,"17/11/2021,04:00",60,0,0,0
41107,"17/11/2021,05:00",60,0,0,0
41107,"17/11/2021,06:00",60,0,0,0
41107,"17/11/2021,07:00",60,0,0,0
41107,"17/11/2021,08:00",60,0,0,0
41107,"17/11/2021,09:00",60,0,0,0
41107,"17/11/2021,10:00",60,0,0,0
41107,"17/11/2021,11:00",60,0,0,0
41107,"17/11/2021,12:00",60,0,0,0
41107,"17/11/2021,13:00",60,0,0,0
41107,"17/11/2021,14:00",60,0,0,0
41107,"17/11/2021,15:00",60,0,0,0
41107,"17/11/2021,16:00",60,0,0,0
41107,"17/11/2021,17:00",60,0,0,0
41107,"17/11/2021,18:00",60,0,0,0
41107,"17/11/2021,19:00",60,0,0,0
41107,"17/11/2021,20:00",60,0,0,0
41107,"17/11/2021,21:00",60,0,0,0
41107,"17/11/2021,22:00",60,0,0,0
41107,"17/11/2021,23:00",60,0,0,0
41107,"18/11/2021,00:00",60,0,0,0
41107,"18/11/2021,01:00",60,0,0,0
41107,"18/11/2021,02:00",60,0,0,0
41107,"18/11/2021,03:00",60,0,0,0
41107,"18/11/2021,04:00",60,0,0,0
41107,"18/11/2021,05:00",60,0,0,0
41107,"18/11/2021,06:00",60,0,0,0
41107,"18/11/2021,07:00",60,0,0,0
41107,"18/11/2021,08:00",60,0,0,0
41107,"18/11/2021,09:00",60,0,0,0
41107,"18/11/2021,10:00",60,0,0,0
41107,"18/11/2021,11:00",60,0,0,0
41107,"18/11/2021,12:00",60,0,0,0
41107,"18/11/2021,13:00",60,0,0,0
41107,"18/11/2021,14:00",60,0,0,0
41107,"18/11/2021,15:00",60,0,0,0
41107,"18/11/2021,16:00",60,0,0,0
41107,"18/11/2021,17:00",60,0,0,0
41107,"18/11/2021,18:00",60,0,0,0
41107,"18/11/2021,19:00",60,0,0,0
41107,"18/11/2021,20:00",60,0,0,0
41107,"18/11/2021,21:00",60,0,0,0
41107,"18/11/2021,22:00",60,0,0,0
41107,"18/11/2021,23:00",60,0,0,0
41107,"19/11/2021,00:00",60,0,0,0
41107,"19/11/2021,01:00",60,0,0,0
41107,"19/11/2021,02:00",60,0,0,0
41107,"19/11/2021,03:00",60,0,0,0
41107,"19/11/2021,04:00",60,0,0,0
41107,"19/11/2021,05:00",60,0,0,0
41107,"19/11/2021,06:00",60,0,0,0
41107,"19/11/2021,07:00",60,0,0,0
41107,"19/11/2021,08:00",60,0,0,0
41107,"19/11/2021,09:00",60,0,0,0
41107,"19/11/2021,10:00",60,0,0,0
41107,"19/11/2021,11:00",60,0,0,0
41107,"19/11/2021,12:00",60,0,0,0
41107,"19/11/2021,13:00",60,0,0,0
41107,"19/11/2021,14:00",60,0,0,0
41107,"19/11/2021,15:00",60,0,0,0
41107,"19/11/2021,16:00",60,0,0,0
41107,"19/11/2021,17:00",60,0,0,0
41107,"19/11/2021,18:00",60,0,0,0
41107,"19/11/2021,19:00",60,0,0,0
41107,"19/11/2021,20:00",60,0,0,0
41107,"19/11/2021,21:00",60,0,0,0
41107,"19/11/2021,22:00",60,0,0,0
41107,"19/11/2021,23:00",60,0,0,0
41107,"20/11/2021,00:00",60,0,0,0
41107,"20/11/2021,01:00",60,0,0,0
41107,"20/11/2021,02:00",60,0,0,0
41107,"20/11/2021,03:00",60,0,0,0
41107,"20/11/2021,04:00",60,0,0,0
41107,"20/11/2021,05:00",60,0,0,0
41107,"20/11/2021,06:00",60,0,0,0
41107,"20/11/2021,07:00",60,0,0,0
41107,"20/11/2021,08:00",60,0,0,0
41107,"20/11/2021,09:00",60,0,0,0
41107,"20/11/2021,10:00",60,0,0,0
41107,"20/11/2021,11:00",60,0,0,0
41107,"20/11/2021,12:00",60,0,0,0
41107,"20/11/2021,13:00",60,0,0,0
41107,"20/11/2021,14:00",60,0,0,0
41107,"20/11/2021,15:00",60,0,0,0
41107,"20/11/2021,16:00",60,0,0,0
41107,"20/11/2021,17:00",60,0,0,0
41107,"20/11/2021,18:00",60,0,0,0
41107,"20/11/2021,19:00",60,0,0,0
41107,"20/11/2021,20:00",60,0,0,0
41107,"20/11/2021,21:00",60,0,0,0
41107,"20/11/2021,22:00",60,0,0,0
41107,"20/11/2021,23:00",60,0,0,0
41107,"21/11/2021,00:00",60,0,0,0
41107,"21/11/2021,01:00",60,0,0,0
41107,"21/11/2021,02:00",60,0,0,0
41107,"21/11/2021,03:00",60,0,0,0
41107,"21/11/2021,04:00",60,0,0,0
41107,"21/11/2021,05:00",60,0,0,0
41107,"21/11/2021,06:00",60,0,0,0
41107,"21/11/2021,07:00",60,0,0,0
41107,"21/11/2021,08:00",60,0,0,0
41107,"21/11/2021,09:00",60,0,0,0
41107,"21/11/2021,10:00",60,0,0,0
41107,"21/11/2021,11:00",60,0,0,0
41107,"21/11/2021,12:00",60,0,0,0
41107,"21/11/2021,13:00",60,0,0,0
41107,"21/11/2021,14:00",60,0,0,0
41107,"21/11/2021,15:00",60,0,0,0
41107,"21/11/2021,16:00",60,0,0,0
41107,"21/11/2021,17:00",60,0,0,0
41107,"21/11/2021,18:00",60,0,0,0
41107,"21/11/2021,19:00",60,0,0,0
41107,"21/11/2021,20:00",60,0,0,0
41107,"21/11/2021,21:00",60,0,0,0
41107,"21/11/2021,22:00",60,0,0,0
41107,"21/11/2021,23:00",60,0,0,0
41107,"22/11/2021,00:00",60,0,0,0
41107,"22/11/2021,01:00",60,0,0,0
41107,"22/11/2021,02:00",60,0,0,0
41107,"22/11/2021,03:00",60,0,0,0
41107,"22/11/2021,04:00",60,0,0,0
41107,"22/11/2021,05:00",60,0,0,0
41107,"22/11/2021,06:00",60,0,0,0
41107,"22/11/2021,07:00",60,0,0,0
41107,"22/11/2021,08:00",60,0,0,0
41107,"22/11/2021,09:00",60,0,0,0
41107,"22/11/2021,10:00",60,0,0,0
41107,"22/11/2021,11:00",60,0,0,0
41107,"22/11/2021,12:00",60,0,0,0
41107,"22/11/2021,13:00",60,0,0,0
41107,"22/11/2021,14:00",60,0,0,0
41107,"22/11/2021,15:00",60,0,0,0
41107,"22/11/2021,16:00",60,0,0,0
41107,"22/11/2021,17:00",60,0,0,0
41107,"22/11/2021,18:00",60,0,0,0
41107,"22/11/2021,19:00",60,0,0,0
41107,"22/11/2021,20:00",60,0,0,0
41107,"22/11/2021,21:00",60,0,0,0
41107,"22/11/2021,22:00",60,0,0,0
41107,"22/11/2021,23:00",60,0,0,0
41107,"23/11/2021,00:00",60,0,0,0
41107,"23/11/2021,01:00",60,0,0,0
41107,"23/11/2021,02:00",60,0,0,0
41107,"23/11/2021,03:00",60,0,0,0
41107,"23/11/2021,04:00",60,0,0,0
41107,"23/11/2021,05:00",60,0,0,0
41107,"23/11/2021,06:00",60,0,0,0
41107,"23/11/2021,07:00",60,0,0,0
41107,"23/11/2021,08:00",60,0,0,0
41107,"23/11/2021,09:00",60,0,0,0
41107,"23/11/2021,10:00",60,0,0,0
